Alfred Hitchcock
Orson Welles
John Ford
Howard Hawks
Martin Scorsese
Akira Kurosawa
Buster Keaton
Ingmar Bergman
Frank Capra
Federico Fellini
Steven Spielberg
Jean Renoir
John Huston
Luis Buñuel
D. W. Griffith
Ernst Lubitsch
Robert Altman
George Cukor
Woody Allen
Vicente Minnelli
Francis Ford Coppola
Michael Powell
Stanley Kubrick
Billy Wilder
Satyajit Ray
Roman Polanski
François Truffaut
Preston Sturges
Sergei Eisenstein
Fritz Lang
Jean-Luc Godard
Sam Peckinpah
F. W. Murnau
David Lean
Werner Herzog
Nicholas Ray
Josef Von Sterberg
Douglas Sirk
Max Ophuls
Louis Malle
Sergio Leone
Sidney Lumet
Oliver Stone
Bernardo Bertolucci
Jonathan Demme
Jacques Tati
Otto Preminger
Spike Lee
Tim Burton
Jerry Lewis
Jon Favreau
Ben Affleck
Joss Whedon
George Lucas
Zack Snyder
Christopher Nolan
Sam Raimi
James Wan
Patty Jenkins
Anthony Russo
Joe Russo
Lilly Wachowski
Lana Wachowski
Jonh Krasinsky
Marc Forster
Jordan Peele
James Cameron
M. Night Shyamalan
Denis Villeneuve
Richard Linklater
Guilhermo Del Toro
